"animal","auc","peak","ttpeak","duration"
"r14059",400710.4146,157750,4,9
"rh3008",35868.582985,12758.333,5,9
"rh3009",709148.75745,345833.34,4,9
"rh3012",88602.87716,37666.668,4,9
"rh3018",436337.08767,186666.67,3,9
"rh3019",46270.124335,26250,3,8
"rh3035",261912.917065,94833.336,5,9
"rh3039",397586.25275,255000,4,9
"r03041",64472.91677,26500,7,7
"r04171",2565508.6717,1891666.6,7,9
"r05029",69396.4316,22525.598,7,6
"r05031",268643.7534,93833.336,6,7
"r10100",365343.743465,178333.33,8,8
"rh2005",2065647.53345,1107500,9,8
"rh2799",22301059.56785,15258333,7,8
"rh2809",279252.9237,91833.336,8,8
"rh2818",4646435.96655,3191666.8,9,9
"rhbc48",3256950.382,1546666.6,5,8
"rhbd23",173032.915365,36833.332,7,9
"rhbd87",97625.916025,39250,4,8
"rhbe47",55841.625235,17500,6,9
"rhbi41",606043.587135,185000,3,9
"r04118",33641.70835,10191.667,7,8
"r04159",1055986.384,545833.3,6,9
"r05055",4836.8332,2083.3333,7,6
"r07035",2201719.922133,1357500,8,8
"r11026",1154608.57667,441666.66,6,6
